frames,skillchecks,greatHit,missSk,toolBox,toolBoxSpeed,toolBoxCharges,hyperfocus,skill
90,4,0,1,False,0.0,0,False,0.2
90,8,1,1,False,0.0,0,False,0.2
90,9,0,1,False,0.0,0,False,0.2
89,7,2,0,False,0.0,0,False,0.2
90,11,1,1,False,0.0,0,False,0.2
89,6,2,1,False,0.0,0,False,0.2
88,13,3,0,False,0.0,0,False,0.2
90,9,1,0,False,0.0,0,False,0.2
88,11,3,1,False,0.0,0,False,0.2
90,10,1,2,False,0.0,0,False,0.2
90,2,0,0,False,0.0,0,False,0.2
90,7,1,0,False,0.0,0,False,0.2
90,5,1,1,False,0.0,0,False,0.2
88,11,3,1,False,0.0,0,False,0.2
88,6,3,1,False,0.0,0,False,0.2
88,10,3,0,False,0.0,0,False,0.2
90,3,1,0,False,0.0,0,False,0.2
87,9,4,0,False,0.0,0,False,0.2
88,6,3,2,False,0.0,0,False,0.2
90,7,0,0,False,0.0,0,False,0.2
88,10,3,1,False,0.0,0,False,0.2
89,8,2,1,False,0.0,0,False,0.2
89,10,2,0,False,0.0,0,False,0.2
90,7,1,0,False,0.0,0,False,0.2
89,8,2,0,False,0.0,0,False,0.2
89,8,2,2,False,0.0,0,False,0.2
90,4,1,0,False,0.0,0,False,0.2
90,7,1,0,False,0.0,0,False,0.2
90,6,1,2,False,0.0,0,False,0.2
88,9,3,1,False,0.0,0,False,0.2
86,9,5,1,False,0.0,0,False,0.2
89,7,2,1,False,0.0,0,False,0.2
90,9,1,0,False,0.0,0,False,0.2
88,7,3,1,False,0.0,0,False,0.2
90,7,0,1,False,0.0,0,False,0.2
89,10,2,0,False,0.0,0,False,0.2
88,11,3,1,False,0.0,0,False,0.2
90,8,1,2,False,0.0,0,False,0.2
90,5,1,0,False,0.0,0,False,0.2
90,7,0,1,False,0.0,0,False,0.2
88,11,3,2,False,0.0,0,False,0.2
89,8,2,1,False,0.0,0,False,0.2
89,6,2,1,False,0.0,0,False,0.2
90,6,1,1,False,0.0,0,False,0.2
88,8,3,0,False,0.0,0,False,0.2
90,5,1,1,False,0.0,0,False,0.2
90,4,0,1,False,0.0,0,False,0.2
90,5,0,0,False,0.0,0,False,0.2
90,10,1,0,False,0.0,0,False,0.2
89,10,2,3,False,0.0,0,False,0.2
90,5,1,2,False,0.0,0,False,0.2
89,5,2,0,False,0.0,0,False,0.2
90,7,1,0,False,0.0,0,False,0.2
89,6,2,0,False,0.0,0,False,0.2
90,5,1,0,False,0.0,0,False,0.2
90,8,1,2,False,0.0,0,False,0.2
90,8,1,0,False,0.0,0,False,0.2
88,11,3,3,False,0.0,0,False,0.2
87,13,4,1,False,0.0,0,False,0.2
90,7,1,0,False,0.0,0,False,0.2
89,9,2,1,False,0.0,0,False,0.2
90,5,0,1,False,0.0,0,False,0.2
90,5,1,0,False,0.0,0,False,0.2
90,10,1,0,False,0.0,0,False,0.2
90,13,0,3,False,0.0,0,False,0.2
87,6,4,0,False,0.0,0,False,0.2
89,5,2,1,False,0.0,0,False,0.2
90,6,1,1,False,0.0,0,False,0.2
90,7,0,1,False,0.0,0,False,0.2
88,5,3,0,False,0.0,0,False,0.2
89,5,2,0,False,0.0,0,False,0.2
90,6,1,1,False,0.0,0,False,0.2
90,8,0,1,False,0.0,0,False,0.2
89,3,2,0,False,0.0,0,False,0.2
88,9,3,1,False,0.0,0,False,0.2
90,4,0,1,False,0.0,0,False,0.2
90,10,1,1,False,0.0,0,False,0.2
89,7,2,1,False,0.0,0,False,0.2
89,6,2,0,False,0.0,0,False,0.2
90,6,0,1,False,0.0,0,False,0.2
90,5,0,2,False,0.0,0,False,0.2
90,6,1,0,False,0.0,0,False,0.2
89,7,2,2,False,0.0,0,False,0.2
89,9,2,0,False,0.0,0,False,0.2
90,4,1,1,False,0.0,0,False,0.2
90,10,1,2,False,0.0,0,False,0.2
90,7,1,1,False,0.0,0,False,0.2
89,9,2,1,False,0.0,0,False,0.2
89,6,2,0,False,0.0,0,False,0.2
90,12,0,1,False,0.0,0,False,0.2
89,8,2,1,False,0.0,0,False,0.2
90,5,1,0,False,0.0,0,False,0.2
89,8,2,0,False,0.0,0,False,0.2
90,5,0,1,False,0.0,0,False,0.2
88,8,3,0,False,0.0,0,False,0.2
90,1,0,0,False,0.0,0,False,0.2
90,4,0,0,False,0.0,0,False,0.2
88,6,3,0,False,0.0,0,False,0.2
87,10,4,1,False,0.0,0,False,0.2
89,7,2,0,False,0.0,0,False,0.2
90,6,1,0,False,0.0,0,False,0.2
89,6,2,0,False,0.0,0,False,0.2
88,12,3,0,False,0.0,0,False,0.2
90,5,1,0,False,0.0,0,False,0.2
89,6,2,0,False,0.0,0,False,0.2
90,8,1,0,False,0.0,0,False,0.2
90,9,0,1,False,0.0,0,False,0.2
90,6,0,1,False,0.0,0,False,0.2
90,6,0,0,False,0.0,0,False,0.2
90,3,1,0,False,0.0,0,False,0.2
89,14,2,2,False,0.0,0,False,0.2
89,10,2,1,False,0.0,0,False,0.2
90,4,0,0,False,0.0,0,False,0.2
88,8,3,0,False,0.0,0,False,0.2
90,5,1,2,False,0.0,0,False,0.2
88,8,3,1,False,0.0,0,False,0.2
90,8,1,1,False,0.0,0,False,0.2
89,8,2,2,False,0.0,0,False,0.2
90,6,0,0,False,0.0,0,False,0.2
90,6,1,0,False,0.0,0,False,0.2
90,7,1,0,False,0.0,0,False,0.2
89,7,2,1,False,0.0,0,False,0.2
90,11,1,1,False,0.0,0,False,0.2
90,5,1,2,False,0.0,0,False,0.2
87,13,4,1,False,0.0,0,False,0.2
90,4,1,0,False,0.0,0,False,0.2
