framesToComplete,skillchecks,greatHit,missSk,toolBoxUsed,toolBoxSpeed,toolBoxCharges,hyperfocusUsed,skillFactor,simulatedFPS
10800,7,0,0,False,0.0,0,False,0.2,120
10692,6,1,2,False,0.0,0,False,0.2,120
10800,6,0,1,False,0.0,0,False,0.2,120
10584,6,2,0,False,0.0,0,False,0.2,120
10800,4,0,1,False,0.0,0,False,0.2,120
10584,8,2,1,False,0.0,0,False,0.2,120
10476,9,3,0,False,0.0,0,False,0.2,120
10800,4,0,1,False,0.0,0,False,0.2,120
10800,3,0,1,False,0.0,0,False,0.2,120
10584,10,2,1,False,0.0,0,False,0.2,120
10692,9,1,1,False,0.0,0,False,0.2,120
10800,6,0,0,False,0.0,0,False,0.2,120
10528,11,3,2,False,0.0,0,False,0.2,120
10692,6,1,1,False,0.0,0,False,0.2,120
10584,8,2,0,False,0.0,0,False,0.2,120
10476,6,3,0,False,0.0,0,False,0.2,120
10800,6,0,0,False,0.0,0,False,0.2,120
10584,3,2,1,False,0.0,0,False,0.2,120
10800,1,0,0,False,0.0,0,False,0.2,120
10584,11,2,2,False,0.0,0,False,0.2,120
10476,6,3,0,False,0.0,0,False,0.2,120
10584,8,2,1,False,0.0,0,False,0.2,120
10692,5,1,1,False,0.0,0,False,0.2,120
10476,8,3,1,False,0.0,0,False,0.2,120
10692,5,1,0,False,0.0,0,False,0.2,120
10800,8,0,1,False,0.0,0,False,0.2,120
10692,4,1,0,False,0.0,0,False,0.2,120
10770,6,1,0,False,0.0,0,False,0.2,120
10584,7,2,1,False,0.0,0,False,0.2,120
10692,4,1,1,False,0.0,0,False,0.2,120
10584,7,2,1,False,0.0,0,False,0.2,120
10584,8,2,0,False,0.0,0,False,0.2,120
10368,14,4,1,False,0.0,0,False,0.2,120
10800,10,0,0,False,0.0,0,False,0.2,120
10476,5,3,0,False,0.0,0,False,0.2,120
10800,5,0,0,False,0.0,0,False,0.2,120
10584,10,2,0,False,0.0,0,False,0.2,120
10584,10,2,1,False,0.0,0,False,0.2,120
10476,5,3,0,False,0.0,0,False,0.2,120
10692,5,1,0,False,0.0,0,False,0.2,120
10800,4,0,0,False,0.0,0,False,0.2,120
10692,11,1,2,False,0.0,0,False,0.2,120
10800,9,0,1,False,0.0,0,False,0.2,120
10476,8,3,1,False,0.0,0,False,0.2,120
10800,6,0,2,False,0.0,0,False,0.2,120
10800,4,0,1,False,0.0,0,False,0.2,120
10800,9,0,0,False,0.0,0,False,0.2,120
10584,8,2,1,False,0.0,0,False,0.2,120
10584,8,2,0,False,0.0,0,False,0.2,120
10692,7,1,1,False,0.0,0,False,0.2,120
10476,10,3,1,False,0.0,0,False,0.2,120
10800,5,0,0,False,0.0,0,False,0.2,120
10476,11,3,0,False,0.0,0,False,0.2,120
10692,8,1,3,False,0.0,0,False,0.2,120
10584,9,2,1,False,0.0,0,False,0.2,120
10692,4,1,0,False,0.0,0,False,0.2,120
10584,5,2,0,False,0.0,0,False,0.2,120
10692,4,1,0,False,0.0,0,False,0.2,120
10692,9,1,2,False,0.0,0,False,0.2,120
10584,15,2,1,False,0.0,0,False,0.2,120
10770,5,1,1,False,0.0,0,False,0.2,120
10692,6,1,0,False,0.0,0,False,0.2,120
10584,7,2,1,False,0.0,0,False,0.2,120
10692,7,1,2,False,0.0,0,False,0.2,120
10692,3,1,0,False,0.0,0,False,0.2,120
10800,4,0,0,False,0.0,0,False,0.2,120
10692,3,1,1,False,0.0,0,False,0.2,120
10692,5,1,0,False,0.0,0,False,0.2,120
10692,5,1,0,False,0.0,0,False,0.2,120
10800,4,0,0,False,0.0,0,False,0.2,120
10692,6,1,0,False,0.0,0,False,0.2,120
10476,5,3,1,False,0.0,0,False,0.2,120
10584,6,2,0,False,0.0,0,False,0.2,120
10800,3,0,0,False,0.0,0,False,0.2,120
10692,5,1,0,False,0.0,0,False,0.2,120
10368,8,4,1,False,0.0,0,False,0.2,120
10800,9,0,2,False,0.0,0,False,0.2,120
10800,5,0,3,False,0.0,0,False,0.2,120
10692,8,1,2,False,0.0,0,False,0.2,120
10692,10,1,0,False,0.0,0,False,0.2,120
10584,7,2,0,False,0.0,0,False,0.2,120
10584,9,2,0,False,0.0,0,False,0.2,120
10800,5,0,1,False,0.0,0,False,0.2,120
10692,3,1,0,False,0.0,0,False,0.2,120
10476,7,3,2,False,0.0,0,False,0.2,120
10800,4,0,0,False,0.0,0,False,0.2,120
10476,11,3,0,False,0.0,0,False,0.2,120
10800,2,0,0,False,0.0,0,False,0.2,120
10800,7,0,3,False,0.0,0,False,0.2,120
10692,6,1,1,False,0.0,0,False,0.2,120
10800,6,0,0,False,0.0,0,False,0.2,120
10584,6,2,0,False,0.0,0,False,0.2,120
10584,8,2,1,False,0.0,0,False,0.2,120
10584,7,2,1,False,0.0,0,False,0.2,120
10476,9,3,1,False,0.0,0,False,0.2,120
10584,12,2,1,False,0.0,0,False,0.2,120
10476,11,3,1,False,0.0,0,False,0.2,120
10476,10,3,2,False,0.0,0,False,0.2,120
10692,9,1,1,False,0.0,0,False,0.2,120
10584,6,2,0,False,0.0,0,False,0.2,120
10476,4,3,0,False,0.0,0,False,0.2,120
10800,4,0,2,False,0.0,0,False,0.2,120
10476,10,3,0,False,0.0,0,False,0.2,120
10476,7,3,0,False,0.0,0,False,0.2,120
10692,6,1,0,False,0.0,0,False,0.2,120
10584,7,2,3,False,0.0,0,False,0.2,120
10584,7,2,1,False,0.0,0,False,0.2,120
10692,11,1,0,False,0.0,0,False,0.2,120
10800,9,0,2,False,0.0,0,False,0.2,120
10476,10,3,1,False,0.0,0,False,0.2,120
10476,14,3,2,False,0.0,0,False,0.2,120
10800,1,0,0,False,0.0,0,False,0.2,120
10584,11,2,1,False,0.0,0,False,0.2,120
10800,8,0,2,False,0.0,0,False,0.2,120
10476,12,3,2,False,0.0,0,False,0.2,120
10584,10,2,2,False,0.0,0,False,0.2,120
10584,5,2,1,False,0.0,0,False,0.2,120
10476,10,3,0,False,0.0,0,False,0.2,120
10584,7,2,0,False,0.0,0,False,0.2,120
10692,6,1,1,False,0.0,0,False,0.2,120
10476,5,3,0,False,0.0,0,False,0.2,120
10584,9,2,1,False,0.0,0,False,0.2,120
10800,4,0,1,False,0.0,0,False,0.2,120
10476,5,3,1,False,0.0,0,False,0.2,120
10692,9,1,1,False,0.0,0,False,0.2,120
10584,5,2,0,False,0.0,0,False,0.2,120
10800,4,0,0,False,0.0,0,False,0.2,120
10692,8,1,2,False,0.0,0,False,0.2,120
10800,6,0,0,False,0.0,0,False,0.2,120
